Date,DPIS
2021/12/22,1.22234311
2021/12/23,1.547115259
2021/12/24,-0.227023827
2021/12/27,0.972652694
2021/12/28,2.455704009
2021/12/29,-0.64603
2021/12/30,0.604875073
2021/12/31,0.456808758
2022/1/4,-0.431589131
2022/1/5,-0.917431726
2022/1/6,1.37522009
2022/1/7,2.540990206
2022/1/10,0.936543619
2022/1/11,-0.042915054
2022/1/12,0.94710382
2022/1/13,0.30003266
2022/1/14,1.977095287
2022/1/17,-0.612367771
2022/1/18,0.911103134
2022/1/19,1.123107175
2022/1/20,-0.372921346
2022/1/21,1.547115259
2022/1/24,2.131558833
2022/1/25,-0.286966218
2022/1/26,-0.266195907
2022/1/27,0.936543619
2022/1/28,1.780021107
2022/2/7,0.190289392
2022/2/8,0.345759022
2022/2/9,0.717534226
2022/2/10,0.306891615
2022/2/11,-0.342749342
2022/2/14,1.414612733
2022/2/15,1.753389461
2022/2/16,0.972652694
2022/2/17,-1.791948398
2022/2/18,0.484190885
2022/2/21,-0.742528392
2022/2/22,-1.263170876
2022/2/23,0.141193719
2022/2/24,1.027921687
2022/2/25,0.903620638
2022/2/28,0.789957967
2022/3/1,0.057029708
2022/3/2,2.522333851
2022/3/3,1.37522009
2022/3/4,0.739005735
2022/3/7,0.764331105
2022/3/8,1.456256384
2022/3/9,1.198334416
2022/3/10,-0.120649869
2022/3/11,1.547115259
2022/3/14,-0.042915054
2022/3/15,0.856587809
2022/3/16,1.050230786
2022/3/17,0.936543619
2022/3/18,1.061737584
2022/3/21,2.540990206
2022/3/22,1.20215953
2022/3/23,1.744985698
2022/3/24,0.656698283
2022/3/25,1.772537278
2022/3/28,2.540990206
2022/3/29,-0.797400026
2022/3/30,-0.296398148
2022/3/31,1.20215953
2022/4/1,1.726695153
2022/4/6,1.94618169
2022/4/7,0.604875073
2022/4/8,1.385872748
2022/4/11,0.190289392
2022/4/12,0.306891615
2022/4/13,1.744985698
2022/4/14,0.275091008
2022/4/15,1.94618169
2022/4/18,2.540990206
2022/4/19,0.456808758
2022/4/20,0.574390832
2022/4/21,1.599034616
2022/4/22,1.123107175
2022/4/25,2.055924959
2022/4/26,0.175714114
2022/4/27,1.123107175
2022/4/28,1.70611829
2022/4/29,1.753389461
2022/5/5,-0.042915054
2022/5/6,0.911103134
2022/5/9,-0.311997107
2022/5/10,0.141193719
2022/5/11,1.006504952
2022/5/12,1.123107175
2022/5/13,1.042691849
2022/5/16,0.190289392
2022/5/17,-0.542638867
2022/5/18,0.490688339
2022/5/19,0.345759022
2022/5/20,-0.182837722
2022/5/23,-0.542638867
2022/5/24,-0.334420612
2022/5/25,-0.431589131
2022/5/26,-0.56390371
2022/5/27,1.977095287
2022/5/30,0.574390832
2022/5/31,1.313478151
2022/6/1,0.413354514
2022/6/2,1.70611829
2022/6/6,-0.875788075
2022/6/7,1.665443096
2022/6/8,0.574390832
2022/6/9,-0.636926379
2022/6/10,0.863991124
2022/6/13,2.055924959
2022/6/14,1.042691849
2022/6/15,0.699099092
2022/6/16,0.345759022
2022/6/17,1.123107175
2022/6/20,1.456256384
2022/6/21,0.656698283
2022/6/22,-0.108916312
2022/6/23,-0.893796141
2022/6/24,1.70611829
2022/6/27,1.123107175
2022/6/28,0.025674489
2022/6/29,0.30003266
2022/6/30,-1.053467653
2022/7/1,1.368585539
2022/7/4,1.123107175
2022/7/5,1.356311621
2022/7/6,-0.381437637
2022/7/7,2.540990206
2022/7/8,0.844654106
2022/7/11,-0.850161213
2022/7/12,-1.263170876
2022/7/13,-0.678927179
2022/7/14,-1.022373727
2022/7/15,1.977095287
2022/7/18,0.12365955
2022/7/19,1.027921687
2022/7/20,1.340041544
2022/7/21,0.812167914
2022/7/22,2.540990206
2022/7/25,-0.311997107
2022/7/26,0.413354514
2022/7/27,-1.827642956
2022/7/28,-1.176091587
2022/7/29,-0.832801081
2022/8/1,-0.797400026
2022/8/2,0.33379982
2022/8/3,0.742365223
2022/8/4,0.275091008
2022/8/5,0.006353491
2022/8/8,-0.042915054
2022/8/9,-0.431589131
2022/8/10,-0.392721723
2022/8/11,-1.053467653
2022/8/12,1.194862389
2022/8/15,0.495249052
2022/8/16,0.057029708
2022/8/17,0.190289392
2022/8/18,-0.670773178
2022/8/19,1.123107175
2022/8/22,-1.042362679
2022/8/23,2.540990206
2022/8/24,1.98228145
2022/8/25,-0.96345892
2022/8/26,0.965002466
2022/8/29,2.501133446
2022/8/30,-0.042915054
2022/8/31,-0.360921117
2022/9/1,-0.11430417
2022/9/2,1.614063903
2022/9/5,-0.227023827
2022/9/6,2.540990206
2022/9/7,1.496234289
2022/9/8,0.593097071
2022/9/9,-0.404784022
2022/9/13,1.414612733
2022/9/14,0.109174802
2022/9/15,-0.311997107
2022/9/16,1.410128032
2022/9/19,1.70611829
2022/9/20,1.006504952
